tweet_text,emotion_type,product_mention
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",Positive emotion,Apple
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",Positive emotion,Apple
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Positive emotion,Google
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,Positive emotion,Both
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Positive emotion,Google
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),Positive emotion,Apple
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,Positive emotion,Apple
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",no emotion,Google
Anyone at  #sxsw want to sell their old iPad?,no emotion,Apple
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,no emotion,Apple
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",no emotion,Google
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,Positive emotion,Apple
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,no emotion,Apple
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Negative emotion,Google
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,no emotion,Both
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Positive emotion,Apple
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,no emotion,Apple
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},no emotion,Apple
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},no emotion,Apple
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,Positive emotion,Apple
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},Positive emotion,Apple
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Positive emotion,Apple
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Positive emotion,Apple
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,no emotion,Apple
ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,no emotion,Google
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Positive emotion,Google
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",no emotion,Google
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,Positive emotion,Apple
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},no emotion,Apple
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},no emotion,Google
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,no emotion,Apple
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",no emotion,Google
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Positive emotion,Apple
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",no emotion,Apple
Again? RT @mention Line at the Apple store is insane.. #sxsw,Negative emotion,Apple
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,no emotion,Apple
attending @mention iPad design headaches #sxsw {link},Negative emotion,Apple
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Negative emotion,Both
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},Positive emotion,Apple
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,no emotion,Google
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Positive emotion,Google
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Positive emotion,Google
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,Positive emotion,Apple
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",no emotion,Apple
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,Positive emotion,Apple
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,Positive emotion,Apple
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,no emotion,Apple
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Positive emotion,Apple
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Positive emotion,Google
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,Positive emotion,Apple
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,Negative emotion,Apple
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",Positive emotion,Apple
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},Positive emotion,Apple
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Positive emotion,Google
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,no emotion,Google
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",no emotion,Google
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,Positive emotion,Apple
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Negative emotion,Apple
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Positive emotion,Google
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",no emotion,Google
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Positive emotion,Google
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",no emotion,Google
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},no emotion,Apple
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Positive emotion,Apple
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,no emotion,Apple
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Positive emotion,Apple
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Positive emotion,Google
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",Positive emotion,Apple
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",no emotion,Apple
"At #SXSW, #Apple schools the marketing experts - {link}",Positive emotion,Apple
"At #SXSW, #Apple schools the marketing experts {link}",no emotion,Apple
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Positive emotion,Apple
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Positive emotion,Apple
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Positive emotion,Apple
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,Positive emotion,Apple
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,no emotion,Apple
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,Positive emotion,Apple
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,no emotion,Apple
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,Positive emotion,Apple
I can haz #iPad2 ifrom #SxSW Gr8 {link},Positive emotion,Apple
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",Positive emotion,Apple
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",no emotion,Google
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Positive emotion,Google
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,no emotion,Google
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",no emotion,Apple
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",no emotion,Apple
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",Positive emotion,Apple
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Positive emotion,Apple
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,no emotion,Google
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,no emotion,Apple
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,no emotion,Apple
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},no emotion,Apple
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,no emotion,Apple
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},Positive emotion,Apple
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Positive emotion,Apple
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,no emotion,Apple
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,Positive emotion,Apple
Apple won #SxSW from day one. Seeing a TON of #iPad2,Positive emotion,Apple
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,no emotion,Apple
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,no emotion,Apple
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,Positive emotion,Apple
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,Positive emotion,Apple
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,Positive emotion,Apple
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,no emotion,Google
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,no emotion,Apple
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,no emotion,Apple
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,no emotion,Apple
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,Positive emotion,Apple
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Positive emotion,Apple
"More free #SXSW mp3 downloads, this time from iTunes: {link}",no emotion,Apple
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,no emotion,Google
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,no emotion,Google
The Apple #SXSW store still has iPad 2's and short lines.,Positive emotion,Apple
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Positive emotion,Google
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",no emotion,Google
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,no emotion,Apple
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,Positive emotion,Apple
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),no emotion,Apple
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Positive emotion,Google
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,no emotion,Apple
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",Negative emotion,Apple
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,Positive emotion,Apple
ipad2 and #sxsw...a conflagration of doofusness.  {link},Negative emotion,Apple
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Positive emotion,Apple
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},Positive emotion,Apple
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,no emotion,Apple
This is a #WINNING picture #android #google #sxsw {link},Positive emotion,Google
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,no emotion,Google
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},no emotion,Google
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",Negative emotion,Apple
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},no emotion,Google
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,Positive emotion,Apple
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,Positive emotion,Apple
more than 150 million mobile users for Google Maps for Mobile #SXSW,no emotion,Google
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,no emotion,Apple
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",no emotion,Apple
Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,no emotion,Apple
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",Negative emotion,Apple
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},Positive emotion,Apple
many iPad 2's snapping away at the keynote slides! #sxsw,Positive emotion,Apple
Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,no emotion,Apple
Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,no emotion,Google
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,Positive emotion,Apple
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},no emotion,Apple
sweet new 3-d google maps demo going on in ballroom D #SXSW,Positive emotion,Google
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Positive emotion,Google
rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ÛÒ about 250 people! Only one more hour. ' #sxsw,no emotion,Apple
"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",no emotion,Apple
"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",no emotion,Google
#SXSW day 5 at the #apple store and there's still a line...and growing {link},Positive emotion,Apple
"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",no emotion,Apple
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Positive emotion,Google
We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,no emotion,Google
"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",no emotion,Apple
"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",no emotion,Apple
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,Positive emotion,Apple
"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",no emotion,Apple
Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,no emotion,Apple
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,Positive emotion,Apple
"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",no emotion,Google
"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",no emotion,Apple
"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Positive emotion,Google
HOBO WITH A SHOTGUN iPhone game {link} #sxsw,no emotion,Apple
Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,Positive emotion,Apple
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Positive emotion,Apple
Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,no emotion,Apple
Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,no emotion,Apple
Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,Positive emotion,Google
Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link},no emotion,Google
"google is about search, but local' marissa mayer #sxsw",no emotion,Google
Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin,no emotion,Google
Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,no emotion,Google
Questions about what's inside the iPad 2? Fire them my way. #sxsw,no emotion,Apple
Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,no emotion,Apple
Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link},no emotion,Apple
Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW,no emotion,Apple
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",Negative emotion,Apple
Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,Positive emotion,Apple
"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",no emotion,Google
I meant I also wish I  at #SXSW #dyac stupid iPhone!,Negative emotion,Apple
Audioboo: American Dream or Bust {link} #iPad #sxsw #bum #begger #us #socialart #Documentally,no emotion,Apple
Skifta is an app-based media shifting service that turns your Android phone into a ...  #sxsw #mashable #sxswi {link},no emotion,Google
Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Positive emotion,Apple
What does an Apple security guy after he locks up the store..... #sxsw - {link},no emotion,Apple
How I got an iPad 2 during #SXSW!  {link} cc @mention,no emotion,Apple
picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,Positive emotion,Apple
Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Positive emotion,Google
GSD&amp;M and Google.....sitting in a tree {link} #sxsw #gsdm,no emotion,Google
@mention  and here's a pic of you winning your ipad! #unsix #sxsw cc @mention @mention  {link} (cont) {link},no emotion,Apple
My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link},no emotion,Apple
My iPhone and I are both VERY thirsty! #sxsw (@mention Chevy Volt Lounge w/ 16 others) {link} {link},no emotion,Apple
"I came in and left #sxsw with my iPhone playing the same song, chosen at random: Skream's Listening to the Records on my wall. Appropriate.",no emotion,Apple
marketing and sales GENIUS: {link} #Apple #SXSW,Positive emotion,Apple
"Arduino + android = Flaming skulls  {link} Refrigerator Speaks , Salon K, 3:30pm @mention @mention #sxsw #smartthings",no emotion,Google
Reminder: Android and Chrome TTS talk @mention 1 PM today!  {link}  #sxsw,no emotion,Google
iPad 2 vs Android vs The World : Panel at #SXSW today 3:30PM by @mention {link},no emotion,Both
"Backupify Announces CloudSight Search, the First Searchable Archive Solution for Social Media and Google Apps #SXSW #SXSWi {link}",no emotion,Google
Google is announcing a social network &quot;Circles&quot; (via #SXSW tweets). Interesting. Myopia will cause Buzz jokes. But this is interesting.,no emotion,Google
"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",Positive emotion,Apple
Did u see anything on Google's Circles at the #sxsw? @mention @mention,no emotion,Google
The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,Positive emotion,Apple
Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mention Get it now: {link},no emotion,Google
"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",Negative emotion,Apple
the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,Positive emotion,Apple
My iPhone app screen for #sxsw what am I missing?   {link},no emotion,Apple
Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Positive emotion,Google
The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. {link},no emotion,Apple
Say what? Apple #sxsw popup store in Austin! {link} ~@mention @mention,no emotion,Apple
"BREAKING: Apple announces partnership w/porn industry for new #ipad2 video chat app called, &quot;O-FaceTime&quot;. #sxsw",no emotion,Apple
Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Negative emotion,Apple
Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Positive emotion,Apple
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Positive emotion,Apple
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,Positive emotion,Apple
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. http:/ {link},no emotion,Apple
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Positive emotion,Apple
"#technews Apple heads to SXSW, sets up temporary store in Austin {link} #Tech_News #Apple #iPad_2 #Rance_Wilemon #SXSW #tech",no emotion,Apple
ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Positive emotion,Apple
ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Positive emotion,Apple
ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Negative emotion,Apple
#technews Apple Opening Pop-Up Store In Austin For SXSW {link} #Tech_News #American_Statesman #Apple #Apple_Apple #SXSW #tech,no emotion,Apple
#technews Apple Opening Pop-Up Store in Austin for SXSW Geekfest [Apple] {link} #Tech_News #Apple #Brian_Lam #iPad_2 #SXSW #tech,no emotion,Apple
"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",Positive emotion,Apple
"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Positive emotion,Apple
"At #SXSW, Apple schools the marketing experts  {link}",no emotion,Apple
"At #SXSW, Apple schools the marketing experts {link}",Positive emotion,Apple
